[17:36:48.5623679] [Info   : LethalMin] White Pikmin_pxpxt: Setting growth stage to 1
[17:36:52.5680290] [Debug  : LethalMin] Sprout Setting growth stage to 1
[17:36:57.5582487] [Info   : LethalMin] Purple Pikmin_XFcV1AA: Setting growth stage to 1
[17:37:01.5626259] [Info   : LethalMin] White Pikmin_d2bp: Setting growth stage to 1
[17:37:04.5604532] [Info   : LethalMin] White Pikmin_PLGre: Setting growth stage to 1
[17:37:05.6728251] [Debug  : LethalMin] White Pikmin_0kglO: Removed Leader
[17:37:05.6728251] [Debug  : LethalMin] White Pikmin_0kglO: Setting collision mode to 1
[17:37:05.6728251] [Info   : LethalMin] White Pikmin_0kglO: Assigned Leader: MasaeAhmya (0)
[17:37:11.0774788] [Info   : Unity Log] Found enemy vent which has its time up: VentEntrance(Clone). Spawning Spring from vent.
[17:37:11.0824831] [Info   : Unity Log] Spawned enemy from vent
[17:37:11.1095440] [Info   :qwbarch.Mirage] SpringManAI(a6fd1618-8b07-4860-88b5-81bb56a0cef7) - Mimicking player #0
[17:37:16.5595827] [Debug  : LethalMin] Sprout Setting growth stage to 1
[17:37:18.5589606] [Debug  : LethalMin] Sprout Setting growth stage to 1
[17:37:18.7519328] [Info   :GoldenKitten.FairAI] Turret: Detected player, entering charging mode.
[17:37:19.5628364] [Debug  : LethalMin] Sprout Setting growth stage to 1
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 0
[17:37:19.6690341] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #0 'Centipede' : probability: 39
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 1
[17:37:19.6690341] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #1 'Bunker Spider' : probability: 61
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 2
[17:37:19.6690341] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #2 'Hoarding bug' : probability: 22
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 3
[17:37:19.6690341] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #3 'Flowerman' : probability: 2
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 4
[17:37:19.6690341] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #4 'Blob' : probability: 31
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 5
[17:37:19.6690341] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #5 'Spring' : probability: 33
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 6
[17:37:19.6690341] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #6 'Puffer' : probability: 9
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 7
[17:37:19.6690341] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #7 'Nutcracker' : probability: 8
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 8
[17:37:19.6690341] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #8 'Maneater' : probability: 3
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 9
[17:37:19.6690341] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #9 'Stingray' : probability: 15
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 10
[17:37:19.6690341] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #10 'Masked' : probability: 34
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 11
[17:37:19.6690341] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #11 'Jester' : probability: 3
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 12
[17:37:19.6690341] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #12 'Butler' : probability: 16
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 13
[17:37:19.6690341] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #13 'Clay Surgeon' : probability: 4
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 14
[17:37:19.6690341] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #14 'Girl' : probability: 1
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 15
[17:37:19.6690341] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #15 'Herobrine' : probability: 3
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 16
[17:37:19.6690341] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #16 'Locker' : probability: 7
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 17
[17:37:19.6690341] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #17 'ImmortalSnail' : probability: 44
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 18
[17:37:19.6690341] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #18 'HarpGhost' : probability: 0
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 19
[17:37:19.6690341] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #19 'BagpipeGhost' : probability: 0
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 20
[17:37:19.6690341] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #20 'EnforcerGhost' : probability: 0
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 21
[17:37:19.6690341] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #21 'Shy guy' : probability: 3
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 22
[17:37:19.6690341] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #22 'Men-stalker' : probability: 41
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 23
[17:37:19.6690341] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #23 'SlendermanEnemy' : probability: 0
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 24
[17:37:19.6690341] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #24 'Cabinet' : probability: 0
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 25
[17:37:19.6690341] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #25 'Aloe' : probability: 62
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 26
[17:37:19.6690341] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #26 'RollingGiant' : probability: 27
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 27
[17:37:19.6690341] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #27 'Boomba' : probability: 0
[17:37:19.6690341] [Info   : Unity Log] enemy rush index is -1; current index 28
[17:37:19.6700383] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #28 'Rabbit Magician' : probability: 0
[17:37:19.6700383] [Info   : Unity Log] enemy rush index is -1; current index 29
[17:37:19.6700383] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #29 'Peace Keeper' : probability: 1
[17:37:19.6700383] [Info   : Unity Log] enemy rush index is -1; current index 30
[17:37:19.6700383] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #30 'Lord Of The Manor' : probability: 2
[17:37:19.6700383] [Info   : Unity Log] enemy rush index is -1; current index 31
[17:37:19.6700383] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #31 'Janitor' : probability: 14
[17:37:19.6700383] [Info   : Unity Log] enemy rush index is -1; current index 32
[17:37:19.6700383] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #32 'Nancy' : probability: 7
[17:37:19.6700383] [Info   : Unity Log] enemy rush index is -1; current index 33
[17:37:19.6700383] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #33 'Mistress' : probability: 0
[17:37:19.6700383] [Info   : Unity Log] enemy rush index is -1; current index 34
[17:37:19.6700383] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #34 'Duck' : probability: 0
[17:37:19.6700383] [Info   : Unity Log] enemy rush index is -1; current index 35
[17:37:19.6700383] [Info   : Unity Log] Hours: 300 ; Time: 0.2777778 | Enemy #35 'Transporter' : probability: 0
