guid,instance_count,observed_name_overrides,resolution_status,checkpoint,asset_kind,asset_path,asset_git_blob,topology_proven
"dac9dfb406718fe48835313de38f0a3e","6","GuardPhonePoster (1) | GuardPhonePoster | GuardPhonePoster (5) | GuardPhonePoster (4) | GuardPhonePoster (3) | GuardPhonePoster (2)","SOURCE_PATH_UNRESOLVED","","","","","false"
"dad9d683cfb65bd43b65f58b03267a09","2","Folder (1) | Folder","SOURCE_PATH_UNRESOLVED","","","","","false"
"dafdf00705cdb9144be01f3fb199ce82","1","Droid","SOURCE_PATH_UNRESOLVED","","","","","false"
"db9f0d54d31e40545b5d875d4dd8ae68","1","BigWeb","SOURCE_PATH_UNRESOLVED","","","","","false"
"dbf91b771d32c994db95877401c12238","5","Streamer.001 (1) | Streamer.001","SOURCE_PATH_UNRESOLVED","","","","","false"
"dc2062fcb019d87419ef48e3b8c6eddb","17","GoodJobPoster (9) | GoodJobPoster (6) | GoodJobPoster (3) | GoodJobPoster (1) | GoodJobPoster (4) | GoodJobPoster (14) | GoodJobPoster | GoodJobPoster (15) | GoodJobPoster (5) | GoodJobPoster (8) | GoodJobPoster (11) | GoodJobPoster (13) | GoodJobPoster (7) | GoodJobPoster (2) | GoodJobPoster (12) | GoodJobPoster (16) | GoodJobPoster (10)","SOURCE_PATH_UNRESOLVED","","","","","false"
"dc4b41c221f7d5d4d893c76e8106cb2d","2","ItemSpawnSpecial (6) | ItemSpawnSpecial (3)","SOURCE_PATH_UNRESOLVED","","","","","false"
"dc63774eb9b81c94291d8b7e133e3a73","2","WebCorner2","SOURCE_PATH_UNRESOLVED","","","","","false"
"dd10f44eeb74a90438dbf82bb60c8a42","2","OxydeRock (1) | OxydeRock","SOURCE_PATH_UNRESOLVED","","","","","false"
"dd344d9c110af2f49a4802768ca63ad2","20","Minecart (5) | Minecart (13) | Minecart (15) | Minecart (6) | Minecart (4) | Minecart (9) | Minecart (10) | Minecart (11) | Minecart (1) | Minecart (14) | Minecart (2) | Minecart (3) | Minecart (18) | Minecart | Minecart (16) | Minecart (12) | Minecart (7) | Minecart (17) | Minecart (8) | Minecart (19)","SOURCE_PATH_RESOLVED","C3E2A","UNITY_PREFAB_YAML","CodeRebirthUnityProject/Assets/LethalCompany/Mods/plugins/CodeRebirth/Moons/Oxyde/Prefabs/Structures/Minecart/Minecart.prefab","bef7396a45a382b7abcae463e1baa0a781e69d13","false"
"df462f0ae7396094fb23763c4521c40f","1","OxydeBobby","SOURCE_PATH_RESOLVED","C3E2C","UNITY_PREFAB_YAML","CodeRebirthUnityProject/Assets/LethalCompany/Mods/plugins/CodeRebirth/Moons/Oxyde/Prefabs/Structures/JimothyCabin/Decoration/BobbySnailCat/OxydeBobby.prefab","9a6579c7782e8a0be70515f56965e80ea158c6b0","false"
"df71c0e5ee6ce8740913e18cf64c46f4","1","Rubik","SOURCE_PATH_UNRESOLVED","","","","","false"
"e0ba3ad741a3c034ebbfd04e2b0c5d5f","11","OxydeRock.005 (22) | OxydeRock.005 | OxydeRock.005 (20) | OxydeRock.005 (7) | OxydeRock.005 (1) | OxydeRock.005 (3) | OxydeRock.005 (19) | OxydeRock.005 (21)","SOURCE_PATH_UNRESOLVED","","","","","false"
"e3e64414de6b43547aabaa5d19cc239c","5","WelcomeSign (1) | WelcomeSign | WelcomeSign (2) | WelcomeSign (3)","SOURCE_PATH_UNRESOLVED","","","","","false"
"e4efbd87b159f874696f209f5debefa2","1","ButtonInteract | SellingSally | BellInteract","SOURCE_PATH_RESOLVED","C3E2C","UNITY_PREFAB_YAML","CodeRebirthUnityProject/Assets/LethalCompany/Mods/plugins/CodeRebirth/Moons/Oxyde/Prefabs/Structures/SellingSally/SellingSally.prefab","93a13e743f92f9813dc4132bb9dfce065e1d5d3a","false"
"e73a244d8e33195448df7390ea94caef","1","SallyStairs","SOURCE_PATH_RESOLVED","C3E2B","FBX_MODEL_LFS_POINTER","CodeRebirthUnityProject/Assets/LethalCompany/Mods/plugins/CodeRebirth/Moons/Oxyde/Prefabs/Structures/SellingSally/Model/SallyStairs.fbx","ffcc754d753ed466d233b569cc39e2fbebd6191f","false"
"e77f31857d7e98849aac547725be9431","16","OxydeRock.007 | OxydeRock.007 (28) | OxydeRock.007 (1) | OxydeRock.007 (26) | OxydeRock.007 (10) | OxydeRock.007 (12) | OxydeRock.007 (23) | OxydeRock.007 (11) | OxydeRock.007 (25) | OxydeRock.007 (2) | OxydeRock.007 (4) | OxydeRock.007 (27)","SOURCE_PATH_UNRESOLVED","","","","","false"
"ea33f60b848d5d7419d5fe4aa08ca058","5","OxydeRock.001 | OxydeRock.001 (1) | OxydeRock.001 (3) | OxydeRock.001 (2)","SOURCE_PATH_UNRESOLVED","","","","","false"
"eaddaaac55fd05346a45e5487ec811e6","6","PaintingFrameOxyde (1) | PaintingFrameOxyde | PaintingFrameOxyde (4) | PaintingFrameOxyde (3) | PaintingFrameOxyde (2) | Plane | PaintingFrameOxyde (5)","SOURCE_PATH_UNRESOLVED","","","","","false"
"ec25778525026cb4c9320483cae3ca2a","25","ForkliftEmpty (3) | ForkliftEmpty (1) | ForkliftEmpty (2) | ForkliftEmpty | ForkliftEmpty (5) | ForkliftEmpty (8) | ForkliftEmpty (6) | ForkliftEmpty (4) | ForkliftEmpty (7)","SOURCE_PATH_UNRESOLVED","","","","","false"
"ecb6d7ccb40b7e04a9d66976007826bd","8","Tractor (3) | Tractor (1) | Tractor | Tractor (5) | Tractor (4) | Tractor (2) | Tractor (6)","SOURCE_PATH_UNRESOLVED","","","","","false"
"ede017a52fb37e74d84849d3d7bb942c","21","GiantPumpkin (1) | GiantPumpkin | GiantPumpkin (9) | GiantPumpkin (7) | GiantPumpkin (2) | GiantPumpkin (5) | GiantPumpkin (4) | GiantPumpkin (11) | GiantPumpkin (10) | GiantPumpkin (6) | GiantPumpkin (8) | GiantPumpkin (3)","SOURCE_PATH_UNRESOLVED","","","","","false"
"efed00bebc0c8ab4696dc299415f88c3","4","Candy.003 (1) | Candy.003","SOURCE_PATH_UNRESOLVED","","","","","false"
"f0e1f8ec7fc722f4dac7b13513d48937","26","RedDecoBarrel (1) | RedDecoBarrel | RedDecoBarrel (6) | RedDecoBarrel (3) | RedDecoBarrel (5) | RedDecoBarrel (2) | RedDecoBarrel (4) | RedDecoBarrel (7)","SOURCE_PATH_UNRESOLVED","","","","","false"
"f0f3e642ada3aa446b3f73c7c5cefbd1","8","OxydeRock.006 (2) | OxydeRock.006 | OxydeRock.006 (4) | OxydeRock.006 (8) | OxydeRock.006 (9) | OxydeRock.006 (1) | OxydeRock.006 (19)","SOURCE_PATH_UNRESOLVED","","","","","false"
"f13da7da716c92b45a2657a7cc6dd1b5","33","Grave2 (2) | Grave2 (15) | Grave2 (18) | Grave2 (6) | Grave2 (1) | Grave2 | Grave2 (10) | Grave2 (8) | Grave2 (3) | Grave2 (19) | Grave2 (4) | Grave2 (13) | Grave2 (11) | Grave2 (16) | Grave2 (14) | Grave2 (7) | Grave2 (17) | Grave2 (12) | Grave2 (5) | Grave2 (9)","SOURCE_PATH_UNRESOLVED","","","","","false"
"f18fd0718660d8e48b751a90e20b6deb","3","MelssingPoster","SOURCE_PATH_UNRESOLVED","","","","","false"
"f2742ba95ba4de8429f1ad3bf5af575c","14","OxydeRock.005 (7) | OxydeRock.005 (5) | OxydeRock.005 (6) | OxydeRock.005 (3) | OxydeRock.005 (18) | OxydeRock.005 (8) | OxydeRock.005 (4) | OxydeRock.005 (17) | OxydeRock.005 | OxydeRock.005 (1) | OxydeRock.005 (2)","SOURCE_PATH_UNRESOLVED","","","","","false"
"f354eba67c9ac1c4faa7ce98cb6ee920","1","SallyStairsCollider","SOURCE_PATH_RESOLVED","C3E2B","FBX_MODEL_LFS_POINTER","CodeRebirthUnityProject/Assets/LethalCompany/Mods/plugins/CodeRebirth/Moons/Oxyde/Prefabs/Structures/SellingSally/Model/SallyStairsCollider.fbx","5c1f84794fdf9f9e1007d22878ca6718ad90f220","false"
