[16:34:59.3304535] [Debug  :Spawn Cycle Fixes] Predictor: Spawn wave at time 100
[16:34:59.3304535] [Debug  :Spawn Cycle Fixes] Predictor: Base amount is -2.838085
[16:34:59.3304535] [Debug  :Spawn Cycle Fixes] Predictor: Adjusted amount is -1.588085 (1 days left)
[16:34:59.3304535] [Debug  :Spawn Cycle Fixes] Predictor: Spawning 0 enemies
[16:34:59.3304535] [Debug  :Spawn Cycle Fixes] Predictor: Spawn wave at time 180
[16:34:59.3304535] [Debug  :Spawn Cycle Fixes] Predictor: Base amount is -2.615933
[16:34:59.3304535] [Debug  :Spawn Cycle Fixes] Predictor: Adjusted amount is -1.365933 (1 days left)
[16:34:59.3304535] [Debug  :Spawn Cycle Fixes] Predictor: Spawning 0 enemies
[16:34:59.3304535] [Debug  :Spawn Cycle Fixes] Predictor: Spawn wave at time 300
[16:34:59.3304535] [Debug  :Spawn Cycle Fixes] Predictor: Base amount is -2.215615
[16:34:59.3304535] [Debug  :Spawn Cycle Fixes] Predictor: Adjusted amount is -0.9656146 (1 days left)
[16:34:59.3304535] [Debug  :Spawn Cycle Fixes] Predictor: Spawning 0 enemies
[16:34:59.3304535] [Debug  :Spawn Cycle Fixes] Predictor: Spawn wave at time 420
[16:34:59.3304535] [Debug  :Spawn Cycle Fixes] Predictor: Base amount is -1.474799
[16:34:59.3304535] [Debug  :Spawn Cycle Fixes] Predictor: Adjusted amount is -0.2247989 (1 days left)
[16:34:59.3304535] [Debug  :Spawn Cycle Fixes] Predictor: Spawning 0 enemies
[16:34:59.3304535] [Debug  :Spawn Cycle Fixes] Predictor: Spawn wave at time 540
[16:34:59.3304535] [Debug  :Spawn Cycle Fixes] Predictor: Base amount is -0.134636
[16:34:59.3304535] [Debug  :Spawn Cycle Fixes] Predictor: Adjusted amount is 1.115364 (1 days left)
[16:34:59.3304535] [Debug  :Spawn Cycle Fixes] Predictor: Spawning 0 enemies
[16:34:59.3304535] [Debug  :Spawn Cycle Fixes] Predictor: Spawn wave at time 660
[16:34:59.3304535] [Debug  :Spawn Cycle Fixes] Predictor: Base amount is 0.5946491
[16:34:59.3304535] [Debug  :Spawn Cycle Fixes] Predictor: Adjusted amount is 1.844649 (1 days left)
[16:34:59.3304535] [Debug  :Spawn Cycle Fixes] Predictor: Spawning 0 enemies
[16:34:59.3304535] [Debug  :Spawn Cycle Fixes] Predictor: Spawn wave at time 780
[16:34:59.3304535] [Debug  :Spawn Cycle Fixes] Predictor: Base amount is 1.126973
[16:34:59.3304535] [Debug  :Spawn Cycle Fixes] Predictor: Adjusted amount is 2.376973 (1 days left)
