[20:38:37.3666301] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/DontTouchMe/Kill Everything"
[20:38:37.3681328] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/DontTouchMe/Attack Chance"
[20:38:37.3691371] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/DontTouchMe/Pikmin Friendly Despawn"
[20:38:37.3711377] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/DontTouchMe/Carry Weight"
[20:38:37.3726407] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Navmesh Check Blacklist"
[20:38:37.3736468] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Check Navmesh"
[20:38:37.3756450] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Generate Pikmin Configs"
[20:38:37.3766451] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Use ModDataLib"
[20:38:37.3786441] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Clean Moon Names"
[20:38:37.3796452] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Generate Moon Spawn Configs"
[20:38:37.3819985] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Advanced/Generate Weather Spawn Configs"
[20:38:37.3835083] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Use Beta Item Weight Calculation"
[20:38:37.3850135] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Whistle Makes Noise At Noice Zone"
[20:38:37.3860177] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Dont Make Audible Noises"
[20:38:37.3880172] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Pikmin Signal Cooldown"
[20:38:37.3900182] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/No Knock Back"
[20:38:37.3910188] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Invinceable Pikmin"
[20:38:37.3925881] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Useless Blues Mode"
[20:38:37.3945920] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Max Whistle Zone Radius"
[20:38:37.3960960] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/`Cheats`/Max Whistle Zone Distance"
