[08:38:16.6850099] [Debug  : LethalMin] SetGhostColor set to True
[08:38:16.6850099] [Debug  : LethalMin] DisableRegistration set to False
[08:38:16.6850099] [Debug  : LethalMin] SetColorOnSprout set to True
[08:38:16.6850099] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[08:38:16.6860136] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[08:38:16.6870140] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[08:38:16.6870140] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[08:38:16.6870140] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[08:38:16.6880130] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[08:38:16.6880130] [Debug  : LethalMin] DefaultSpeed set to 1
[08:38:16.6880130] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[08:38:16.6880130] [Debug  : LethalMin] CarryStrength set to 3
[08:38:16.6880130] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[08:38:16.6895172] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[08:38:16.6895172] [Debug  : LethalMin] ItemDetectionRange set to 5
