[10:31:26.3122416] [Debug  : LethalMin] Initializing PikminItem SocketWrenchPrefab(Clone) with item SocketWrenchPrefab(Clone) (True)
[10:31:26.3132407] [Info   : Unity Log] Landmine creating doorcode object in parent MapScreenUIWorldSpace (UnityEngine.RectTransform): DoorCodeUIObject(Clone)
[10:31:26.3154041] [Debug  :Buttery Fixes] Landmine #-348250: Nudged radar dot upwards
[10:31:26.3164060] [Debug  :ReXuvination] Optimised Collider layers in Landmine for Object: Landmine (UnityEngine.GameObject)
[10:31:26.3174050] [Info   : Unity Log] Landmine creating doorcode object in parent MapScreenUIWorldSpace (UnityEngine.RectTransform): DoorCodeUIObject(Clone)
[10:31:26.3174050] [Debug  :Buttery Fixes] Landmine #-348384: Nudged radar dot upwards
[10:31:26.3174050] [Debug  :ReXuvination] Optimised Collider layers in Landmine for Object: Landmine (UnityEngine.GameObject)
[10:31:26.3174050] [Info   : Unity Log] Landmine creating doorcode object in parent MapScreenUIWorldSpace (UnityEngine.RectTransform): DoorCodeUIObject(Clone)
[10:31:26.3174050] [Debug  :Buttery Fixes] Landmine #-348518: Nudged radar dot upwards
[10:31:26.3174050] [Debug  :ReXuvination] Optimised Collider layers in Landmine for Object: Landmine (UnityEngine.GameObject)
[10:31:26.3174050] [Info   : Unity Log] Landmine creating doorcode object in parent MapScreenUIWorldSpace (UnityEngine.RectTransform): DoorCodeUIObject(Clone)
[10:31:26.3174050] [Debug  :Buttery Fixes] Landmine #-348652: Nudged radar dot upwards
[10:31:26.3174050] [Debug  :ReXuvination] Optimised Collider layers in Landmine for Object: Landmine (UnityEngine.GameObject)
[10:31:26.3184871] [Info   : Unity Log] Landmine creating doorcode object in parent MapScreenUIWorldSpace (UnityEngine.RectTransform): DoorCodeUIObject(Clone)
[10:31:26.3184871] [Debug  :Buttery Fixes] Landmine #-348786: Nudged radar dot upwards
[10:31:26.4613644] [Debug  :ReXuvination] Optimised Collider layers in Landmine for Object: Landmine (UnityEngine.GameObject)
